sp_I_05,fA_I_05,fB_I_05,qs_I_05,time_05
0.9785786,1.0418509,1.0320714,1.0359936,2014-09-24 17:52:30.483
0.9790883,1.0420845,1.0331827,1.036735,2014-09-24 17:52:31.483
0.9807946,1.0433664,1.03303,1.0363188,2014-09-24 17:52:32.483
0.97867244,1.0419677,1.0321901,1.0353843,2014-09-24 17:52:33.483
0.97885114,1.0425189,1.0327793,1.0361333,2014-09-24 17:52:34.483
0.9793216,1.0432926,1.0335183,1.0359579,2014-09-24 17:52:35.483
0.9779668,1.0416621,1.0315485,1.0348849,2014-09-24 17:52:36.483
0.98014116,1.0430773,1.0334564,1.0354712,2014-09-24 17:52:37.483
0.9797409,1.0433469,1.033345,1.0356344,2014-09-24 17:52:38.483
0.9792597,1.0429252,1.0329283,1.0359244,2014-09-24 17:52:39.483
0.97930914,1.0438268,1.0325989,1.0361186,2014-09-24 17:52:40.483
0.97978014,1.0440338,1.031821,1.0355458,2014-09-24 17:52:41.483
0.9803134,1.044074,1.0316551,1.0343821,2014-09-24 17:52:42.483
0.979161,1.0436535,1.0319775,1.0359406,2014-09-24 17:52:43.483
0.9821711,1.045116,1.0324146,1.0346168,2014-09-24 17:52:44.483
0.9793418,1.0436715,1.0318323,1.0345253,2014-09-24 17:52:45.483
0.9788535,1.0444373,1.0326109,1.0355302,2014-09-24 17:52:46.483
0.98044246,1.0434016,1.0315889,1.0343626,2014-09-24 17:52:47.483
0.9808733,1.0447624,1.0319374,1.0350761,2014-09-24 17:52:48.483
0.9807487,1.0457066,1.0329462,1.0353931,2014-09-24 17:52:49.483
0.9790187,1.0444093,1.0320994,1.0342628,2014-09-24 17:52:50.483
0.979363,1.0451863,1.0334901,1.0358676,2014-09-24 17:52:51.483
0.9815013,1.048044,1.0352446,1.0369803,2014-09-24 17:52:52.483
0.97908604,1.0451568,1.0338619,1.0361387,2014-09-24 17:52:53.483
0.9803047,1.0468948,1.0346678,1.0361199,2014-09-24 17:52:54.483
0.9811393,1.0485528,1.0357149,1.0367818,2014-09-24 17:52:55.483
0.97904307,1.0467687,1.0340736,1.0352956,2014-09-24 17:52:56.483
0.9796875,1.0466324,1.0335214,1.0351574,2014-09-24 17:52:57.483
0.97934103,1.0458258,1.0332052,1.034411,2014-09-24 17:52:58.483
0.97893655,1.0454473,1.0326033,1.0351826,2014-09-24 17:52:59.483
0.9791964,1.0468392,1.0347449,1.0373169,2014-09-24 17:53:00.483
0.978983,1.0454328,1.0330726,1.0359982,2014-09-24 17:53:01.483
0.9797467,1.045733,1.0328864,1.0361644,2014-09-24 17:53:02.483
0.98254186,1.04861,1.0357287,1.0382303,2014-09-24 17:53:03.483
0.97930366,1.0451276,1.0324285,1.035308,2014-09-24 17:53:04.483
0.9804286,1.0464656,1.0340511,1.0363799,2014-09-24 17:53:05.483
0.97849345,1.0445518,1.0334443,1.0364511,2014-09-24 17:53:06.483
0.97802234,1.0437734,1.0317333,1.0342131,2014-09-24 17:53:07.483
0.97982705,1.0447005,1.0323179,1.0348551,2014-09-24 17:53:08.483
0.9799279,1.045392,1.0337231,1.0361781,2014-09-24 17:53:09.483
0.9796096,1.0442026,1.0323045,1.0346148,2014-09-24 17:53:10.483
0.9802435,1.0449287,1.0336034,1.0363157,2014-09-24 17:53:11.483
0.9781253,1.0423963,1.031388,1.0337481,2014-09-24 17:53:12.483
0.97920203,1.0442365,1.0324033,1.0346221,2014-09-24 17:53:13.483
0.97890514,1.0439521,1.032641,1.036416,2014-09-24 17:53:14.483
0.9810317,1.0439237,1.0324757,1.034457,2014-09-24 17:53:15.483
0.9792271,1.0438957,1.0326145,1.0359745,2014-09-24 17:53:16.483
0.9805723,1.0449398,1.033352,1.0361034,2014-09-24 17:53:17.483
0.9789522,1.0432407,1.0330987,1.0366286,2014-09-24 17:53:18.483
0.97857505,1.042281,1.0324949,1.0356591,2014-09-24 17:53:19.483
0.9795827,1.0435197,1.033282,1.0356838,2014-09-24 17:53:20.483
0.9807336,1.0435971,1.0326799,1.0361446,2014-09-24 17:53:21.483
0.97978264,1.0434866,1.0335268,1.0363742,2014-09-24 17:53:22.483
0.9800069,1.0437222,1.0332566,1.0365475,2014-09-24 17:53:23.483
0.9809613,1.0439124,1.0332555,1.0370572,2014-09-24 17:53:24.483
0.98027843,1.0440042,1.0335923,1.0367645,2014-09-24 17:53:25.483
0.9784127,1.0423543,1.0321671,1.0362976,2014-09-24 17:53:26.483
0.9776947,1.0416873,1.0313507,1.0349958,2014-09-24 17:53:27.483
0.9807116,1.042959,1.0321667,1.0360614,2014-09-24 17:53:28.483
0.979847,1.0436016,1.0326523,1.0358287,2014-09-24 17:53:29.483
0.980615,1.0436287,1.0324976,1.0359602,2014-09-24 17:53:30.483
0.98089373,1.0424768,1.0328379,1.0367221,2014-09-24 17:53:31.483
0.9798342,1.0433373,1.0327519,1.0370846,2014-09-24 17:53:32.483
0.98091483,1.0439327,1.0322946,1.0366226,2014-09-24 17:53:33.483
0.9814873,1.0439597,1.0332875,1.0370903,2014-09-24 17:53:34.483
0.981157,1.0434225,1.0323962,1.036669,2014-09-24 17:53:35.483
0.98050225,1.0435407,1.033511,1.0380626,2014-09-24 17:53:36.483
0.9793274,1.0436728,1.0333511,1.0380042,2014-09-24 17:53:37.483
0.9823528,1.0444653,1.0344951,1.0380262,2014-09-24 17:53:38.483
0.9814896,1.0443598,1.0345567,1.0388479,2014-09-24 17:53:39.483
0.98175025,1.0438021,1.0335866,1.0373936,2014-09-24 17:53:40.483
0.9812366,1.0440316,1.0331156,1.0375353,2014-09-24 17:53:41.483
0.9819446,1.0438613,1.0343881,1.0385051,2014-09-24 17:53:42.483
0.98205334,1.0441194,1.0345432,1.0391135,2014-09-24 17:53:43.483
0.9816942,1.0440135,1.0336456,1.0376804,2014-09-24 17:53:44.483
0.98072326,1.0440415,1.034403,1.0387764,2014-09-24 17:53:45.483
0.9819023,1.0438253,1.0335195,1.0374583,2014-09-24 17:53:46.483
